Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Abborre	100	0,0	359	86	19,8	0,0	0,0	0,6	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	15	15	21,40	0,74	0,74	0	0,15	0,11	0	8,9	5,3	0,47	3,49	12	219	0,24	389	16	27	33	44,1	0,52	77,8	1,0	78,6	60	
Abborre kokt	100	0,0	453	108	25,0	0,0	0,0	0,8	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	19	19	26,98	0,93	0,93	0	0,17	0,13	0	11,2	6,6	0,56	3,96	10	276	0,31	491	21	34	200	55,6	0,66	98,1	1,7	72,6	76	
Abborrfilé panerad stekt	100	0,3	599	143	18,7	3,8	0,0	5,7	0,8	3,0	1,6	0,0	0,0	0,0	0,5	0,2	0,0	0,1	2,9	0,9	0,4	0,0	0,0	0,0	0,1	0,1	0,1	0,0	27	27	18,84	1,87	1,87	3	0,13	0,11	0	8,2	4,7	0,34	2,68	12	216	0,44	364	21	28	450	40,3	0,55	95,2	2,0	69,4	53	
A-fil 3% fett	100	0,0	251	60	3,4	4,8	0,0	3,0	2,0	0,7	0,1	0,3	0,1	0,3	0,9	0,4	0,0	0,0	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	3,8	0,0	26	25	0,02	0,07	0,07	14	0,04	0,14	0	0,9	0,1	0,04	0,27	11	91	0,04	162	116	12	41	1,8	0,44	10,2	0,7	88,0	0	
Agar torkad	100	0,0	1 313	314	2,3	74,3	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,4	0,0	0,00	0,00	0	14	9,00	29	690	33	4	0,0	0,00	0,0	3,2	19,9	0	
Ajvar relish grönsakspasta m paprika aubergin	100	3,2	294	70	1,3	6,9	0,0	3,5	0,4	0,8	1,6	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,8	1,6	0,1	0,0	0,0	0,0	0,0	5,0	2,6	2,6	211	4	0,00	5,39	5,39	1 900	0,03	0,20	61	1,4	1,2	0,59	0,00	52	27	0,90	228	11	12	493	0,3	0,21	0,0	1,7	83,4	0	
Alfalfagroddar	100	3,0	133	32	4,0	0,9	0,0	0,7	0,1	0,1	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,2	0,0	0,0	0,0	0,0	0,4	0,4	0,0	8	0	0,00	0,20	0,20	96	0,08	0,13	8	1,2	0,5	0,03	0,00	36	70	1,00	79	32	27	6	1,0	0,90	0,0	0,4	91,0	0	
All-Bran FiberBar Naturell	100	16,5	1 867	446	6,9	49,9	0,0	20,8	4,4	7,0	3,6	0,0	0,0	0,1	3,5	0,6	0,1	0,0	6,9	3,6	0,1	0,0	0,0	0,0	0,0	7,6	15,3	13,6	5	5	0,46	7,92	7,92	3	2,00	2,02	0	18,7	17,6	2,58	0,00	259	296	8,00	358	86	78	361	3,0	1,66	19,6	2,5	3,5	0	
Alpro soja	100	0,0	786	188	2,9	5,2	0,0	17,5	1,8	3,5	8,8	0,0	0,0	0,0	1,0	0,6	0,0	0,0	3,4	8,6	0,2	0,0	0,0	0,0	0,0	1,9	1,8	0,2	0	0	0,00	16,40	16,40	0	0,03	0,00	0	0,5	0,1	0,02	0,00	11	43	0,26	72	11	13	55	0,4	0,23	0,0	0,4	74,1	0	
Ambrosiakaka	100	0,8	1 836	439	5,2	54,6	0,0	22,0	5,9	11,0	4,9	0,0	0,3	0,2	3,9	0,7	0,1	0,1	10,8	3,5	1,4	0,0	0,0	0,0	0,0	0,2	32,8	32,4	141	140	1,56	4,19	4,19	10	0,12	0,09	1	2,2	1,2	0,09	0,23	12	157	0,68	63	133	10	295	4,8	0,32	69,7	1,2	16,3	2	
Amerikanska cookies choklad	100	2,5	2 032	486	5,2	63,3	0,0	22,9	10,1	9,6	2,2	0,3	0,4	0,4	5,5	3,3	0,1	0,1	9,3	1,8	0,4	0,0	0,0	0,0	0,0	3,7	40,2	38,5	43	41	0,00	3,07	3,07	16	0,02	0,13	0	1,5	0,6	0,06	0,14	17	145	2,71	339	55	40	323	3,8	0,94	27,5	1,6	4,5	0	
Amerikanska muffins ospec	100	1,6	1 804	431	5,8	46,8	0,0	24,3	2,2	14,0	6,7	0,0	0,0	0,0	1,4	0,6	0,1	0,1	13,5	4,7	1,8	0,0	0,0	0,0	0,0	0,5	25,4	24,2	42	41	0,00	3,07	3,07	2	0,03	0,12	0	1,9	0,4	0,05	0,00	16	212	1,07	183	35	16	292	4,5	0,55	63,7	1,3	20,2	0	
Ananas	100	1,2	230	55	0,4	11,7	0,0	0,4	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	3,7	7,5	7,5	1	0	0,00	0,10	0,10	12	0,09	0,04	15	0,5	0,4	0,09	0,00	11	7	0,20	113	7	14	1	0,6	0,10	0,0	0,3	86,0	48	
Ananas konserv m juice	100	1,0	260	62	0,4	14,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,2	8,5	8,5	2	0	0,00	0,03	0,03	24	0,10	0,02	10	0,4	0,3	0,08	0,00	5	6	0,30	122	14	14	1	0,2	0,10	0,0	0,3	84,0	0	
Ananas konserv m medelsöt lag	100	1,0	362	87	0,4	20,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,7	16,3	16,3	1	0	0,00	0,03	0,03	6	0,09	0,02	7	0,4	0,3	0,07	0,00	5	7	0,30	104	14	17	1	0,2	0,10	0,0	0,3	78,0	0	
Ananas- och citronfromage	100	0,5	773	185	2,9	19,4	0,0	10,6	6,4	2,7	0,3	1,0	0,3	1,0	2,9	1,1	0,0	0,1	2,5	0,2	0,1	0,0	0,0	0,0	0,0	2,0	17,1	16,4	107	102	0,23	0,45	0,45	60	0,05	0,08	4	0,8	0,1	0,06	0,24	9	39	0,40	89	29	8	22	3,4	0,16	75,7	0,4	66,3	1	
Ananasjuice konserv drickf	100	0,5	230	55	0,3	12,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,4	4,4	4,4	1	0	0,00	0,03	0,03	6	0,06	0,02	11	0,4	0,3	0,10	0,00	23	8	0,30	134	17	13	1	0,2	0,10	0,0	0,3	86,0	0	
Andbröst	100	0,0	497	119	19,9	0,0	0,0	4,3	1,3	1,2	0,6	0,0	0,0	0,1	0,7	0,3	0,0	0,2	1,0	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16	16	0,40	0,06	0,06	0	0,42	0,31	0	7,1	3,4	0,63	0,80	25	186	4,50	270	3	22	57	20,0	0,70	80,0	1,3	74,5	0	
Anka m skinn	100	0,0	1 657	396	11,5	0,0	0,0	39,5	13,2	18,7	5,1	0,0	0,0	0,3	9,6	3,2	0,0	1,6	16,7	4,7	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	51	51	1,40	0,50	0,50	0	0,20	0,21	3	6,1	4,0	0,19	0,20	13	139	1,20	210	11	20	63	20,0	1,40	76,0	0,7	48,3	28	
Ansjovis skarpsill inlagd	100	0,0	898	215	12,5	11,8	0,0	13,1	3,0	5,5	3,4	0,0	0,0	0,9	1,8	0,1	0,0	0,7	1,7	0,3	0,2	0,1	0,7	0,1	1,2	0,2	2,7	2,7	57	54	0,21	0,64	0,64	32	0,02	0,16	0	4,5	2,2	0,45	10,00	5	141	1,30	145	99	13	2 750	20,0	1,80	90,0	9,6	53,0	28	
Apelsin	100	1,9	216	52	0,8	10,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,3	3,6	3,6	3	0	0,00	0,55	0,55	38	0,08	0,04	53	0,4	0,3	0,06	0,00	30	20	0,20	158	46	10	0	0,2	0,10	0,0	0,4	86,0	29	
Apelsinjuice färskpressad	100	0,1	200	48	0,7	10,6	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,8	0,7	0,7	10	0	0,00	0,24	0,24	120	0,09	0,03	50	0,5	0,4	0,04	0,00	30	17	0,20	200	11	11	1	0,2	0,10	0,0	0,4	88,0	0	
Apelsinjuice pastöriserad drickf	100	0,1	181	43	0,6	9,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,2	2,2	2,2	0	0	0,00	0,10	0,10	3	0,06	0,03	35	0,4	0,3	0,09	0,00	15	14	0,40	175	8	11	2	0,2	0,00	0,0	0,4	89,0	0	
